license_id,brand_name,ingredient,drugbank_id,potential_indication,source,score
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,bilateral parasagittal parieto-occipital polymicrogyria,TxGNN Deep Learning,0.999920129776001
EMEA/H/C/000494,Reyataz,ATAZANAVIR (AS SULFATE),DB01072,HIV infectious disease,TxGNN Deep Learning,0.999919891357422
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,"myopia 26, X-linked, female-limited",TxGNN Deep Learning,0.9999197721481324
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,sickle cell disease and related diseases,TxGNN Deep Learning,0.9999186992645264
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,nuclear senile cataract,TxGNN Deep Learning,0.9999185800552368
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,cortical cataract,TxGNN Deep Learning,0.9999185800552368
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,TxGNN Deep Learning,0.9999183416366576
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,sickle cell-hemoglobin d disease syndrome,TxGNN Deep Learning,0.9999183416366576
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,sickle cell-hemoglobin c disease syndrome,TxGNN Deep Learning,0.9999183416366576
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,sickle cell-hemoglobin E disease syndrome,TxGNN Deep Learning,0.9999183416366576
EMEA/H/C/004538,Waylivra,VOLANESORSEN SODIUM,DB15067,sickle cell-beta-thalassemia disease syndrome,TxGNN Deep Learning,0.9999183416366576
EMEA/H/C/004964,Silodosin Recordati,SILODOSIN,DB06207,Ambras type hypertrichosis universalis congenita,TxGNN Deep Learning,0.9999163150787354
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,hemophilia,TxGNN Deep Learning,0.9999152421951294
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,lower motor neuron syndrome with late-adult onset,TxGNN Deep Learning,0.9999151229858398
EMEA/H/C/005083,Icatibant Accord,ICATIBANT ACETATE,DB06196,C1 inhibitor deficiency,TxGNN Deep Learning,0.9999147653579712
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,pleural epithelioid mesothelioma,TxGNN Deep Learning,0.9999141693115234
,Bupropion,BUPROPION,DB01156,attention deficit-hyperactivity disorder,TxGNN Deep Learning,0.9999139308929444
EMEA/H/C/000132,Tasmar,TOLCAPONE,DB00323,juvenile onset Parkinson disease 19A,TxGNN Deep Learning,0.9999138116836548
EMEA/H/C/005617,Ximluci,RANIBIZUMAB,DB01270,senile cataract,TxGNN Deep Learning,0.999913454055786
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,acrodermatitis chronica atrophicans,TxGNN Deep Learning,0.9999133348464966
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,syndromic myopia,TxGNN Deep Learning,0.999913215637207
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,pleural sarcomatoid mesothelioma,TxGNN Deep Learning,0.9999125003814696
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,pleural biphasic mesothelioma,TxGNN Deep Learning,0.9999111890792848
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,"amyotrophic lateral sclerosis, susceptibility to",TxGNN Deep Learning,0.9999105930328368
EMEA/H/C/005975,Tuzulby,METHYLPHENIDATE HYDROCHLORIDE,DB00422,chondromyxoid fibroma,TxGNN Deep Learning,0.9999096393585204
EMEA/H/C/004071,Neofordex,DEXAMETHASONE,DB01234,alopecia areata,TxGNN Deep Learning,0.9999080896377563
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,Mills syndrome,TxGNN Deep Learning,0.9999059438705444
,Imipenem,IMIPENEM,DB01598,paratyphoid fever,TxGNN Deep Learning,0.9999058246612548
EMEA/H/C/000682,Savene,DEXRAZOXANE HYDROCHLORIDE,DB00380,sclerosing cholangitis,TxGNN Deep Learning,0.9999045133590698
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,gallbladder adenosquamous carcinoma,TxGNN Deep Learning,0.9999035596847534
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,glottis squamous cell carcinoma,TxGNN Deep Learning,0.999903440475464
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,neonatal dermatomyositis,TxGNN Deep Learning,0.9999030828475952
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,hydranencephaly (disease),TxGNN Deep Learning,0.9999021291732788
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,pericardium cancer,TxGNN Deep Learning,0.9999017715454102
EMEA/H/C/000955,RoActemra,TOCILIZUMAB,DB06273,ankylosing spondylitis,TxGNN Deep Learning,0.999901533126831
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,monomelic amyotrophy,TxGNN Deep Learning,0.9999011754989624
EMEA/H/C/004893,Sunosi,SOLRIAMFETOL HYDROCHLORIDE,DB14754,attention deficit-hyperactivity disorder,TxGNN Deep Learning,0.9999010562896729
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,axial spondylometaphyseal dysplasia,TxGNN Deep Learning,0.9999009370803832
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,rectal cloacogenic carcinoma,TxGNN Deep Learning,0.9999009370803832
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,well differentiated papillary mesothelioma,TxGNN Deep Learning,0.9999005794525146
EMEA/H/C/003895,Pemetrexed Fresenius Kabi,PEMETREXED,DB00642,lymphohistiocytoid mesothelioma,TxGNN Deep Learning,0.9998999834060668
EMEA/H/C/001177,Sycrest,ASENAPINE MALEATE,DB06216,manic bipolar affective disorder,TxGNN Deep Learning,0.9998998641967772
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,amyotrohpic lateral sclerosis type 22,TxGNN Deep Learning,0.999897837638855
,Imipenem,IMIPENEM,DB01598,bacterial arthritis,TxGNN Deep Learning,0.9998966455459596
EMEA/H/C/005083,Icatibant Accord,ICATIBANT ACETATE,DB06196,hereditary angioedema with C1Inh deficiency,TxGNN Deep Learning,0.9998961687088012
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,external ear basal cell carcinoma,TxGNN Deep Learning,0.9998961687088012
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,panuveitis (disease),TxGNN Deep Learning,0.9998953342437744
,Imipenem,IMIPENEM,DB01598,salmonellosis,TxGNN Deep Learning,0.9998944997787476
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,adenosquamous prostate carcinoma,TxGNN Deep Learning,0.9998941421508788
EMEA/H/C/006248,Attrogy,DIFLUNISAL,DB00861,"acromesomelic dysplasia, Hunter-Thompson type",TxGNN Deep Learning,0.9998931884765624
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,autosomal dominant mitochondrial myopathy with exercise intolerance,TxGNN Deep Learning,0.9998923540115356
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,urethral verrucous carcinoma,TxGNN Deep Learning,0.9998921155929564
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,lung occult squamous cell carcinoma,TxGNN Deep Learning,0.9998914003372192
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,pancreatic adenosquamous carcinoma,TxGNN Deep Learning,0.999890685081482
EMEA/H/C/000631,Aptivus,TIPRANAVIR,DB00932,feline acquired immunodeficiency syndrome,TxGNN Deep Learning,0.9998905658721924
EMEA/H/C/000631,Aptivus,TIPRANAVIR,DB00932,simian immunodeficiency virus infection,TxGNN Deep Learning,0.9998905658721924
EMEA/H/C/004844,Libtayo,CEMIPLIMAB,DB14707,non-keratinizing sinonasal squamous cell carcinoma,TxGNN Deep Learning,0.9998904466629028
EMEA/H/C/000395,Pegasys,PEGINTERFERON ALFA-2A,DB00008,chronic hepatitis C virus infection,TxGNN Deep Learning,0.9998904466629028
